Date;Day;Session;Video #;Videolink;Videolength;Timestamp;Timelink;Player Level;Stronghold Level;Tag;Action;Info;Shortage1;Shortage2;Shortage3;Ended1;Ended2;Limits;New expirience;Offer Time;Team Power;Name;Level;Rarity;Stage2;Provimce;Stage;Result;Gems;Gems+;Gems-;Gems Balance
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:38;0:08:38;1;2;Campaign;Edit Team Start;;;;;;;;1;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:42;0:08:42;1;2;Campaign;Edit Team Finish;;;;;;;;;;912;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:44;0:08:44;1;2;Campaign;Start Battle;;;;;;;;1;;;;;;1-3;1;3;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:47;0:08:47;1;2;Tutorial;Hero Special Skill;;;;;;;;;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:10:45;0:10:45;1;2;Campaign;Finish Battle;;;;;;;;;;;;;;1-3;1;3;Victory;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:10:52;0:10:52;1;2;Tutorial;Level Up Heroes;;;;;;;;1;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:10:54;0:10:54;1;2;Campaign;Map;;;;;;;;;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:10:54;0:10:54;1;2;Hero;Start;;;;;;;;1;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:10:54;0:10:54;1;2;Tutorial;Hero Level Up;;;;;;;;;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:10:58;0:10:58;1;2;Hero;Level Up;;;;;;;;1;;914;Sharan;3;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:11:11;0:11:11;1;2;Campaign;Map;;;;;;;;;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:11:16;0:11:16;1;2;Campaign;Start Battle;;;;;;;;;;;;;;1-4;1;4;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:13:05;0:13:05;1;2;Campaign;Finish Battle;;;;;;;;;;;;;;1-4;1;4;Victory;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:13:13;0:13:13;1;2;Campaign;Map;;;;;;;;;;;;;;;;;;;0;0;100
